global_episode,phase,episode,env_seed,agent,episode_reward,failure_mode,rho_state
0,1,0,960941037,HFLevo,1.3,neutral,nan
0,1,0,960941037,LevoParadoxIsomer,0.0,neutral,0.5
1,1,1,2135581874,HFLevo,1.3,neutral,nan
1,1,1,2135581874,LevoParadoxIsomer,0.0,neutral,0.5
2,1,2,2131554306,HFLevo,1.3,neutral,nan
2,1,2,2131554306,LevoParadoxIsomer,0.0,neutral,0.5
3,1,3,820359671,HFLevo,-2.0,overconfident,nan
3,1,3,820359671,LevoParadoxIsomer,-2.0,overconfident,0.5
4,1,4,2047814545,HFLevo,1.3,neutral,nan
4,1,4,2047814545,LevoParadoxIsomer,1.3,neutral,0.5
5,1,5,1776286830,HFLevo,1.2,neutral,nan
5,1,5,1776286830,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
6,1,6,1373214917,HFLevo,-2.0,overconfident,nan
6,1,6,1373214917,LevoParadoxIsomer,-2.0,overconfident,0.5
7,1,7,1797992013,HFLevo,1.3,neutral,nan
7,1,7,1797992013,LevoParadoxIsomer,0.0,neutral,0.5
8,1,8,1645535739,HFLevo,1.2,neutral,nan
8,1,8,1645535739,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
9,1,9,2095533891,HFLevo,1.3,neutral,nan
9,1,9,2095533891,LevoParadoxIsomer,1.3,neutral,0.5
10,1,10,829401385,HFLevo,1.3,neutral,nan
10,1,10,829401385,LevoParadoxIsomer,1.3,neutral,0.5
11,1,11,165839486,HFLevo,1.3,neutral,nan
11,1,11,165839486,LevoParadoxIsomer,1.3,neutral,0.5
12,1,12,976680886,HFLevo,1.2,neutral,nan
12,1,12,976680886,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
13,1,13,681732448,HFLevo,0.0,neutral,nan
13,1,13,681732448,LevoParadoxIsomer,0.0,neutral,0.5
14,1,14,1046126860,HFLevo,1.3,neutral,nan
14,1,14,1046126860,LevoParadoxIsomer,0.0,neutral,0.5
15,1,15,1974730198,HFLevo,0.0,neutral,nan
15,1,15,1974730198,LevoParadoxIsomer,1.3,neutral,0.5
16,1,16,2073558604,HFLevo,0.0,neutral,nan
16,1,16,2073558604,LevoParadoxIsomer,0.0,neutral,0.5
17,1,17,1451418837,HFLevo,0.0,neutral,nan
17,1,17,1451418837,LevoParadoxIsomer,1.3,neutral,0.5
18,1,18,1365011226,HFLevo,1.3,neutral,nan
18,1,18,1365011226,LevoParadoxIsomer,1.3,neutral,0.5
19,1,19,613804374,HFLevo,1.3,neutral,nan
19,1,19,613804374,LevoParadoxIsomer,1.3,neutral,0.5
20,1,20,32280267,HFLevo,1.3,neutral,nan
20,1,20,32280267,LevoParadoxIsomer,0.0,neutral,0.5
21,1,21,836537275,HFLevo,0.0,neutral,nan
21,1,21,836537275,LevoParadoxIsomer,0.0,neutral,0.5
22,1,22,975647501,HFLevo,0.0,neutral,nan
22,1,22,975647501,LevoParadoxIsomer,-0.8,overcautious,0.5
23,1,23,494392738,HFLevo,1.3,neutral,nan
23,1,23,494392738,LevoParadoxIsomer,0.0,neutral,0.5
24,1,24,1706901824,HFLevo,0.0,neutral,nan
24,1,24,1706901824,LevoParadoxIsomer,0.0,neutral,0.5
25,1,25,358546340,HFLevo,0.0,neutral,nan
25,1,25,358546340,LevoParadoxIsomer,1.3,neutral,0.5
26,1,26,1030268022,HFLevo,-2.0,overconfident,nan
26,1,26,1030268022,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
27,1,27,329502221,HFLevo,0.0,neutral,nan
27,1,27,329502221,LevoParadoxIsomer,0.0,neutral,0.5
28,1,28,746578914,HFLevo,1.3,neutral,nan
28,1,28,746578914,LevoParadoxIsomer,0.0,neutral,0.5
29,1,29,2091845998,HFLevo,1.3,neutral,nan
29,1,29,2091845998,LevoParadoxIsomer,1.3,neutral,0.5
30,1,30,1436029081,HFLevo,0.0,neutral,nan
30,1,30,1436029081,LevoParadoxIsomer,1.3,neutral,0.5
31,1,31,910309404,HFLevo,0.0,neutral,nan
31,1,31,910309404,LevoParadoxIsomer,1.3,neutral,0.5
32,1,32,472048561,HFLevo,1.3,neutral,nan
32,1,32,472048561,LevoParadoxIsomer,0.0,neutral,0.5
33,1,33,135600480,HFLevo,0.0,neutral,nan
33,1,33,135600480,LevoParadoxIsomer,0.0,neutral,0.5
34,1,34,1892894588,HFLevo,0.0,neutral,nan
34,1,34,1892894588,LevoParadoxIsomer,1.3,neutral,0.5
35,1,35,1055673936,HFLevo,1.2,neutral,nan
35,1,35,1055673936,LevoParadoxIsomer,-2.0,overconfident,0.44999998807907104
36,1,36,1340667110,HFLevo,0.0,neutral,nan
36,1,36,1340667110,LevoParadoxIsomer,0.0,neutral,0.5
37,1,37,619212679,HFLevo,-2.0,overconfident,nan
37,1,37,619212679,LevoParadoxIsomer,0.0,neutral,0.44999998807907104
38,1,38,120545107,HFLevo,1.3,neutral,nan
38,1,38,120545107,LevoParadoxIsomer,1.3,neutral,0.5
39,1,39,454442609,HFLevo,2.5,neutral,nan
39,1,39,454442609,LevoParadoxIsomer,2.5,neutral,0.5
40,1,40,295287540,HFLevo,0.0,neutral,nan
40,1,40,295287540,LevoParadoxIsomer,1.2,neutral,0.3999999761581421
41,1,41,445457645,HFLevo,1.3,neutral,nan
41,1,41,445457645,LevoParadoxIsomer,1.3,neutral,0.5
42,1,42,307622279,HFLevo,1.3,neutral,nan
42,1,42,307622279,LevoParadoxIsomer,1.3,neutral,0.5
43,1,43,1243437117,HFLevo,0.0,neutral,nan
43,1,43,1243437117,LevoParadoxIsomer,0.0,neutral,0.5
44,1,44,244133596,HFLevo,0.0,neutral,nan
44,1,44,244133596,LevoParadoxIsomer,1.3,neutral,0.5
45,1,45,1268841274,HFLevo,0.0,neutral,nan
45,1,45,1268841274,LevoParadoxIsomer,0.0,neutral,0.5
46,1,46,1225761364,HFLevo,1.3,neutral,nan
46,1,46,1225761364,LevoParadoxIsomer,0.0,neutral,0.5
47,1,47,1907103971,HFLevo,1.3,neutral,nan
47,1,47,1907103971,LevoParadoxIsomer,1.3,neutral,0.5
48,1,48,1034799201,HFLevo,0.0,neutral,nan
48,1,48,1034799201,LevoParadoxIsomer,0.0,neutral,0.5
49,1,49,235864475,HFLevo,-2.0,overconfident,nan
49,1,49,235864475,LevoParadoxIsomer,1.2,neutral,0.3999999761581421
50,1,50,691379092,HFLevo,-2.0,overconfident,nan
50,1,50,691379092,LevoParadoxIsomer,1.2,neutral,0.5
51,1,51,1065800727,HFLevo,2.5,neutral,nan
51,1,51,1065800727,LevoParadoxIsomer,2.5,neutral,0.550000011920929
52,1,52,655184241,HFLevo,-2.0,overconfident,nan
52,1,52,655184241,LevoParadoxIsomer,0.0,neutral,0.3999999761581421
53,1,53,623054291,HFLevo,2.5,neutral,nan
53,1,53,623054291,LevoParadoxIsomer,0.0,neutral,0.550000011920929
54,1,54,540036626,HFLevo,-0.8,overcautious,nan
54,1,54,540036626,LevoParadoxIsomer,0.0,neutral,0.5
55,1,55,1043358048,HFLevo,1.2,neutral,nan
55,1,55,1043358048,LevoParadoxIsomer,1.2,neutral,0.5
56,1,56,1932965406,HFLevo,1.3,neutral,nan
56,1,56,1932965406,LevoParadoxIsomer,0.0,neutral,0.5
57,1,57,2036930070,HFLevo,1.3,neutral,nan
57,1,57,2036930070,LevoParadoxIsomer,1.3,neutral,0.5
58,1,58,1526743940,HFLevo,1.3,neutral,nan
58,1,58,1526743940,LevoParadoxIsomer,0.0,neutral,0.5
59,1,59,1989662969,HFLevo,0.0,neutral,nan
59,1,59,1989662969,LevoParadoxIsomer,-0.8,overcautious,0.5
60,1,60,2139514329,HFLevo,0.0,neutral,nan
60,1,60,2139514329,LevoParadoxIsomer,0.0,neutral,0.5
61,1,61,1632303898,HFLevo,0.0,neutral,nan
61,1,61,1632303898,LevoParadoxIsomer,1.3,neutral,0.5
62,1,62,1850997508,HFLevo,1.3,neutral,nan
62,1,62,1850997508,LevoParadoxIsomer,0.0,neutral,0.5
63,1,63,1679388031,HFLevo,1.3,neutral,nan
63,1,63,1679388031,LevoParadoxIsomer,0.0,neutral,0.5
64,1,64,994656789,HFLevo,0.0,neutral,nan
64,1,64,994656789,LevoParadoxIsomer,1.3,neutral,0.5
65,1,65,596802772,HFLevo,0.0,neutral,nan
65,1,65,596802772,LevoParadoxIsomer,1.3,neutral,0.5
66,1,66,2022213408,HFLevo,-0.8,overcautious,nan
66,1,66,2022213408,LevoParadoxIsomer,-0.8,overcautious,0.550000011920929
67,1,67,1111583775,HFLevo,0.0,neutral,nan
